id|title|starring|writer|editor|
11439||Mary Ure Richard Walter Jenkins Jr. Edith Mary Evans Patricia Claire Blume|Nigel Kneale John Osborne||
11440||Victor Bo|Salvador Valverde Calvo||
11441||Vishwanath Patekar Raj Babbar Rohini Oak|||
11442||Jun Kunimura Miki Nakatani Masato Hagiwara Ken Mitsuishi|Hisashi Saito||
11443|Bloodsport VII: Manhunt|Jillian McWhirter Jonathan Penner Steven Williams Don "The Dragon" Wilson|Brendan Broderick Rob Kerchner||
11444|Stuart Little 2|Joseph Lane James Howard Woods Melanie Richards Griffith Jonathan William Lipnicki James Hugh Calum Laurie Michael Andrew Fox Virginia Elizabeth Davis Steven James Zahn|E. B. White Bruce Joel Rubin||
11445|Those were the Days|Iris Hoey Will Hay Lewis Ernest Watts Mills Madeline Angela Clinton-Baddeley|Frank Launder Jack Jordan Frederick A. Thompson||
11446|Infinite Justice||||
11447||Ai Maeda Yukijiro Hotaru Shinobu Nakayama|Shusuke Kaneko Kazunori Ito||
11448|The Kid and the Cowboy|Arthemus Ward Acord|Dorothy Rockfort||
11449|La Villa Santo-Sospir||||
11450||David Nerman Jacques Lessard Julian Casey James Bradford Michael Sinelnikoff Martin Sims Gregoriane Minot Payeur Jack Langedijk Patrick Bergin Jayne Heitmeyer|Arthur Conan Doyle Jean LaFleur||
11451|El Dorado|Inu00E9s Sastre Omero Antonutti|Carlos Saura||
11452|Dulcinea|Millie Perkins Cameron Mitchell (actor) Folco Lulli|Ram?n D. Faraldo Gaston Baty||
11453|Crooklyn|Alfre Ette Woodard Delroy Lindo David Patrick Kelly|Shelton Jackson Lee Joie Lee Cinqu? Lee||
11454|A Taxing Woman|Tsutomu Yamazaki Masahiko Tsugawa Nobuko Miyamoto Shinsuke Ashida|Yoshihiro Ikeuchi||
11455|Avalanche Alley|Nick Mancuso Ed Marinaro Tobias Mehler|Paul Ziller Elizabeth Sanchez||
11456||Kottonmouth Kings|||
11457||Susan Aceron Masami Kikuchi Keiko Han u4E09u77F3u7434u4E43 Megumi Hayashibara Eiko Masuyama Jill Frappier Linda Ballantyne Jeff Lumby Terri Hawkes|Lisa Lumby-Richards Sukehiro Tomita Naoko Takeuchi||
11458|Mom's Got a Date with a Vampire|Robert Reed Carradine Myles Jeffrey Matthew Joseph O'Leary Charles George Patrick Shaughnessy Laura Vandervoort Caroline Rhea|Lindsay Naythons Robert Keats||
11459|BAFTA Award for Best Film The Motorcycle Diaries Diarios de motocicleta|Gael Garc?a Bernal Rodrigo de la Serna|Alberto Granado Jos? Rivera (playwright) Ernesto Guevara||
11460|Two Days|Mackenzie Alexander Astin Paul Stephen Rudd Donal Logue Karl Wiedergott Graham Beckel Caroline Aaron Joshua Leonard Adam Scott (actor)|Karl Wiedergott Sean McGinly||
11461||Edythe Marrenner Arthur Hunnicutt Arthur Kennedy Robert Mitchum|Alfred Hayes Jerome Irving Wald Claude Stanush Andrew Solt David Dortort Horace McCoy||
11462||Betty Allie Wanita Allen Gladys Belcher Lyn Childs Margaret Wright (US socialist) Lola Weixel|||
11463|Purple Butterfly|Zhang Ziyi Liu Ye T?ru Nakamura|Lou Ye||
11464|Dinotopia: Quest for the Ruby Sunstone|Alyssa Jayne Milano James Harvey Kennedy Michael Clarke Duncan|Sean Roche||
11465|Hairspray|Ruth Brown Ricki Pamela Lake Gerald Stiller Harris Glenn Milstead Debbie Harry Sonny Bono|John Samuel Waters, Jr.||
11466||u0E1Au0E07u0E01u0E0A u0E04u0E07u0E21u0E32u0E25u0E31u0E22|Chart Korbjitti||
11467||Amos Lavie<BR>Michal Zuarets<BR>Nathan Zehavi<BR>Eyal Geffen|Yaky Yosha||
11468||Philip Andre Rourke Jr. Ronald Walken Debra Feuer|Philip Andre Rourke Jr.||
11469|The Water Dog|Roscoe Arbuckle|||
11470||Juliet Aubrey James Wilby Alan Arthur Bates|Nigel Williams (director)||
11471|Zozo|Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos|Josef Fares||
11472||Balbir Raj Kapoor Zeenat Aman|Jainendra Jain||
11473||Andre Pola Harold Brauer Samuel Horwitz Jacques O'Mahoney Harry Moses Horwitz Christine McIntryre Larry Fine (actor) Philip Van Zandt Vernon Bruce Dent Emil Sitka|Jack White Felix Adler||
11474|A Star Is Born|Barbara Joan Streisand William Gareth Jacob Busey III Kristoffer Kristofferson|Robert Carson William A. Wellman Frank Pierson John Gregory Dunne Joan Didion||
11475|Perfect Pie|Rachel McAdams Barbara Williams Wendy Crewson|Judith Thompson||
11476|Mean Streets|Cesare Danova David Proval Robert Mario De Niro, Jr. Amy Robertson Richard Romanus Harvey Keitel|Mardik Martin Martin Scorsese||
11477|The Russia House|J.T. Walsh Thomas Sean Connery John Mahoney Michelle Marie Pfeiffer Roy Richard Scheider|Tom Stoppard John le Carr?||
11478|Forest of Death|u6797u7ACBu6167 Lu00EDn Lu00EC-Huu00EC Ekin Cheng|Danny Pang||
11479|Anniyan|Sadha Prakash Raj Nedumudi Venu Raju Sundaram Saurabh Shukla Yana Gupta Kalabhavan Mani Cochin Haneefa Nassar(actor) VIVEKANANDHAN DEVAR John Kennedy (actor)|S. Shankar Sujatha||
11480|A Lesson in Love|Birgitte Reimer ?ke Gr?nberg Eva Dahlbeck Harriet Andersson Olof Winnerstrand Sigge F?rst John Elfstr?m Yvonne Lombard Gunnar Bj?rnstrand Ren?e Bj?rling Dagmar Ebbesen|Ernst Ingmar Bergman||
11481|SLC Punk!|Jennifer Ann Lien Anne Elizabeth Gish Michael A. Goorjian Matthew Lillard|James Merendino||
11482||Elie Mitri Sarah Warde|Fares Khalil   Jessica Jalalaty||
11483|In the Land of Women|Elena Anaya Kristen Jaymes Stewart Olympia Dukakis Makenzie Jade Vega Adam Brody Margaret Mary Emily Hyra|Jon Kasdan||
11484|Deliver Us From Evil|Thomas Doyle Oliver O'Grady||Matthew Cooke|
11485||Arthur Lake (actor) Armilda Jane Owen|||
11486|The Second 100 Years|Arthur Stanley Jefferson Oliver Hardy|H.M. Walker Thomas Leo McCarey||
11487|Johnny Tremain|Jeff York Hal Stalmaster Sebastian Cabot Luana Patten|Thomas W. Blackburn Esther Forbes||
11488||Zeinat Sedki Faten Ahmed Hamama Ramzy Mahmoud Bayoumi Abdel Halim Hafez Michel Demitri Chalhoub|Ali El Zorkani Helmy Halim||
11489||Konidala Kalyan Keerthi Reddy|A. Karunakaran||
11490||Mark Griffin Jean-Claude Camille Franu00E7ois Van Varenberg Razaaq Adoti Peter James Bryant Vivica Anjanetta Fox|George Saunders||
11491|My Cousin Vinny|Lane Smith Marisa Tomei Frederick Hubbard Gwynne Joseph Frank Pesci Mitchell Whitfield Ralph George Macchio|Dale Launer||
11492|Dumplings|Bai Ling Tony Leung Ka Fai Miki Yeung Mi Mi Lee Miriam Yeung Pauline Lau|Lilian Lee||
11493|The Last Supper|Andrew Davoli Michael Bortone Eliza Patricia Dushku Chip Bent|||
11494||Jean-Paul Belmondo Lino Ventura Sandra Milo|Jos? Giovanni Claude Sautet Pasqual Jardin||
11495||Donal Logue Christopher McDonald Angela Eileen Featherstone Bryan Ray Trout Russell Wong|John Danza Howard A. Rodman David Newman (filmmaker) John Markoff Tsutomu Shimomura Leslie Newman||
11496|True Confessions|Robert Mario De Niro, Jr. Robert Selden Duvall|||
11497||Joan Greenwood David Cecil MacAlister Tomlinson James Neville Mason Bernard Cribbins Billie Whitelaw|Lionel Jeffries Charles Kingsley Michael Robson||
11498|Ex-Plumber|Lloyd Hamilton|Roscoe Arbuckle||
11499|Du ming zou tian ya|Shek Tien Shu Jun Ping Wan Li Pang|||
11500|The Slaughter Rule|David Morse Ryan Thomas Gosling|Alex Smith (filmmaker) Andrew J. Smith (filmmaker)||
11501|MVP 2: Most Vertical Primate|Dolores Drake Cameron Bancroft Scott Goodman Craig March Troy Ruptash Ian Bagg Fred Keating Gus Lynch Bernie, Mack, and Louie Richard Karn Wilson|Robert Vince Anne Vince Elan Mastai||
11502|The Innocent (1985 film)|William John Neeson Miranda Jane Richardson Andrew Hawley|||
11503|Taking Care of Business|Anne De Salvo Cheryl Gates McFadden John de Lancie Elliott Pershing Stitzel James Edgar Belushi Charles Grodin Loryn Locklin Makoto Iwamatsu Veronica Hamel Hector Elizondo|Jill Mazursky J.J. Abrams||
11504|I Could Never Be Your Woman|Saoirse Ronan Henry Winkler Paul Stephen Rudd Stacey Dash Tracey Ullman Sally Claire Kellerman Fred Willard Michelle Marie Pfeiffer Jonathan Lovitz|Amy Heckerling||
11505|Kannukkul Nilavu|Shalini Joseph Vijay Chandrasekhar|||
11506|The Toast of New Orleans|Mario Lanza Kathryn Grayson James David Graham Niven|Sy Gomberg George Wells||
11507||Ramon Gay/Rosa Arenas|Alfredo Salazar (story)/Guillermo Calderon||
11508|List of Sundance Film Festival award winners|Consuela Faust|Rob Nilsson||
11509|De cierta manera||Sara G?mez Tom?s Guti?rrez Alea Julio Garc?a Espinosa||
11510||Libby Taylor Seymour Schindel Jerome Lester Horwitz Lynton Brent Harry Moses Horwitz Beatrice Curtis Larry Fine (actor)|||
11511||Daniel James Dailey James Francis Cagney Jr. Corinne Dibos|Henry Ephron||
11512||Margaret Mercier Vincent Warren|||
11513||Chau Minh and Ha Thuy|||
11514||John Lund Bebe Anderson Olivia Mary de Havilland|Dodie Smith Jacques Th?ry||
11515|The Girl Most Likely|Catherine Gloria Balotta Clifford Parker Robertson III Suzanne Lorraine Burce Tommy Noonan Keith Andes|Devery Freeman Paul Jarrico||
11516|El Patrullero|Roberto Sosa|Lorenzo O'Brien||
11517||Nancy Justine McKeon Kimberly A. Botfield Gary Hudson (actor) Michele Scarabelli|Douglas Soesbe||
11518|Himmelskibet||Ole Olsen (filmmaker)||
11519|The Werewolf|Steven Ritch|Robert E. Kent||
11520|The Adventures of Pinocchio|Martin Landau Jonathan Taylor Weiss Genevi?ve Bujold|Carlo Collodi Sherry Mills Barry Berman Steve Barron Tom Benedek||
11521|The King|Stephen Hall Shaun Micallef Stephen Curry|Kris Mrksa Jaime Browne||
11522|The Hindenburg|Anna Maria Louisa Italiano George Campbell Scott|Richard Levinson Nelson Gidding William Link||
11523||Jessica Hester Hsuan|||
11524|Le Streghe|Silvana Mangano|||
11525|The Ring Two|Elizabeth Perkins Daveigh Elizabeth Chase-Schwallier Simon Baker David Benjamin Dorfman Kelly Michelle Stables Naomi Ellen Watts Mary Elizabeth Spacek|Ehren Kruger||
11526|C?sar Award for Best Film u00C0 nos amours|Evelyne Ker Maurice Pialat Sandrine Bonnaire Dominique Besnehard|Maurice Pialat Arlette Langmann||
11527||u5289u798Fu69AE)|Daniel Lee Yan-Kong||
11528|Wandering Papas|Oliver Hardy|Hal Yates H.M. Walker||
11529|Columbia Pictures Serial (film)||||
11530||Xavier Cugat Elizabeth Rosemond Taylor Maria do Carmo Miranda da Cunha Wallace Fitzgerald Beery Suzanne Lorraine Burce Robert Langford Modini Stack|Dorothy Cooper Dorothy Kingsley Aleen Leslie (characters)||
11531|The Greatest Thing in Life|David Butler (director) Lillian Diana Gish|Stanner E.V. Taylor Lillian Diana Gish D. W. Griffith||
11532||Christine Cecilia McIntyre Richard Dye Jerome Lester Horwitz Hank Bell Harry Moses Horwitz Larry Fine (actor) Vernon Bruce Dent|Jack White||
11533|Secrets of a Secretary|Lily Claudette Chauchoin Herbert Brough Falcon Marshall|Charles Brackett||
11534|Apoorva Raagangal|Srividya Kamal Haasan Sivaji Rao Gaekwad Jayasudha|||
11535||Prem Chopra Rajendra Kumar Pran Babita|||
11536||Caveh Zahedi Erin McKim|Greg Watkins Caveh Zahedi||
11537|The Tomb of Ligeia|John Westbrook Vincent Leonard Price, Jr. Elizabeth Shepherd Derek Francis|Robert Towne Edgar Allan Poe||
11538||Manorama VIVEKANANDHAN DEVAR Ajith Kumar Asin Thottumkal|Chella (director)||
11539||Keanu Charles Reeves Chris Evans James Hugh Calum Laurie Naomie Melanie Harris Jay Mohr Terry Alan Crews Forest Steven Whitaker|James Ellroy Jamie Moss David Ayer||
11540||Mae Clarke Tristram Coffin|Royal K. Cole<BR>William Lively||
11541||Larry Gilliard Jr. Matty Rich George T. Odom|Matty Rich||
11542||Laura Morante Remo Remotti Vincenzo Salemme Roberto Vezzosi Nanni Moretti|Nanni Moretti||
11543||Ramli Hassan Umie Aida|Huzir Sulaiman||
11544|Live Nude Girls|Kim Victoria Cattrall Dana Delany|Julianna Lavin||
11545||George Segal Glenda May Jackson|Jack Rose||
11546|Max Knight: Ultra Spy|Rachel Blakely Michael Christopher Landes Brooke Harmon Christopher Morris|Paul Bales||
11547|What Planet are you from?|John Stephen Goodman Krishna Bhanji Annette Carol Bening Garry Shandling|Ed Solomon Peter Tolan Michael Leeson Garry Shandling||
11548||Earle Foxe Alice Joyce|||
11549|Jules and Jim|Jeanne Moreau Oskar Werner Henri Serre|Henri-Pierre Roch?||
11550||Diodes (band) Dead Boys Stiv Bators The Boyfriends (Canadian band) Cheetah Chrome Teenage Head (band)|||
11551||Ewan McGregor Patricia T. Arquette Nicholas King Nolte Josh Brolin|Steven Andrew Soderbergh||
11552||Magaly Solier Carlos de la Torre Juan Ubaldo Huamu00E1n Yiliana Chong Melvin Quijada|Claudia Llosa||
11553|Nada|Fosco Giachetti Conchita Montes|Conchita Montes||
11554|Woman Without a Face|Gunn W?llgren Alf Kjellin Anita Bj?rk|Ernst Ingmar Bergman||
11555|Ratboy|Ross White Robert Townsend Louie Anderson Christopher Hewett John Witherspoon (actor) Sydney Lassick Gerrit Graham Bill Maher Sharon Baird Larry Hankin Sondra Locke|Rob Thompson||
11556||Amitabh Bachchan Dharmendra|||
11557||Pete Brock|George Walton Lucas Jr.||
11558||James Stewart (actor) George Kennedy Dean Martin Denver Dell Pyle Jo Raquel Tejada William Auge Ghere|James Lee Barrett Stanley Hough||
11559||Jamshad Arjun (actor)|Vishnuvardhan (director)||
11560||Rajnikanth|||
11561|The Valley of Gwangi||William Bast||
11562|Beethoven's 4th|Edward Ernest Reinhold Jr. Julia Sweeney|||
11563|The Wedding March|Erich Oswald Stroheim ZaSu Pitts Vina Fay Wray George Nichols (actor) Maude George George Fawcett|Harry Carr||
11564||Enuka Okuma Rob Stewart Stella Stevens Miriam Spickler|Marie Weiss||
11565||Intira Jaroenpura Winai Kraibutr|Wisit Sasanatieng||
11566|Crossroads|Joe Seneca Ralph George Macchio Joe Morton Jami Gertz|John Fusco||
11567||Jobyna Lancaster Raulston|||
11568|Emmanuelle V|Yaseen Khan Dana Burns Westburg Crofton Hardester Monique Gabrielle|Emmanuelle Arsan Alex Cunningham Walerian Borowczyk||
11569||Prem Chopra Jeetendra Bhanurekha Ganesan|||
11570|Hawaii|Julia Elizabeth Wells Richard Harris (actor) Max Carl Adolf von Sydow Jocelyne LaGarde|James A. Michener Daniel Taradash Dalton Trumbo||
11571|Green Card Golden Globe Award for Best Motion Picture - Musical or Comedy|Rosalie Anderson MacDowell Gu00E9rard Xavier Marcel Depardieu|Peter Lindsay Weir||
11572||Lee Yeon-hee Kim Tae Pyung|Kim Tae-gyun||
11573|Office Space|David Herman Jennifer Aniston Diedrich Bader Stephen Root Gary Cole Ronald Joseph Livingston Ajay Naidu|Mike Judge||
11574||Joseph C. Grew|||
11575|The Hours Golden Globe Award for Best Motion Picture - Drama|Edward Allen Harris Miranda Jane Richardson Antonia Collette John C. Reilly Stephen Delaney Julie Anne Smith Nicole Mary Kidman Mary Louise Streep|David Hare (dramatist) Michael Cunningham||
11576|Pitfall|Hisashi Igawa Kunie Tanaka|Kobo Abe||
11577||Bipasha Basu Vijay Singh Deol Priyanka Chopra|Suneel Darshan||
11578|The Public Enemy|Mae Clarke James Francis Cagney Jr. Rose Joan Blondell Harlean Harlow Carpenter Edward Woods|Kubec Glasmon John Bright Harvey F. Thew||
11579||Hung Kam-Bo Karl Maka|Chang Gwok Tsz||
11580|The Syrian Bride|Clara Khoury Makram Khoury Hiam Abbass|Eran Riklis Suha Arraf||
11581||Yusuf Khan Saira Banu|||
11582|The Call of the North|Robert Edeson|George Howells Broadhurst Stewart Edward White||
11583|Knock on Any Door|Derek Delevan Harris Humphrey DeForest Bogart|Daniel Taradash Willard Motley||
11584||Joseph Provenzano Diana Darrin Harriette Tarler Gail Bonney Bek Nelson Harry Moses Horwitz Joe Besser Larry Fine (actor) Emil Sitka|||
11585||Reema Lamba|Govind Menon||
11586|Batman: New Times|Mark Richard Hamill William West Anderson|Jeffery Scheetz William Vaughan||
11587||Anders Randolf Eulalie Jensen Marion Cecelia Dourvas Reginald Barlow|E. Phillips Oppenheim Francis Marion||
11588|||Zoe Akins||
11589||Ingrid Newkirk|||
11590|The Mountain Men|John Charles Carter Robert Keith Richey Jr. Seymour Cassel|Fraser Clarke Heston||
11591||Mabel Normand|||
11592||Joji Yanami Mayumi Abe Kenji Utsumi Kohei Myauchi Toshio Furukawa Hiromi Tsuru Naoki Tatsuta Masako Nozawa Naoko Watanabe|Akira Toriyama||
11593|Per grazia ricevuta|Mariangela Melato Nino Manfredi|Piero De Bernardi Luigi Magni Leonardo Benvenuti Nino Manfredi||
11594|Art'n Acte Production|Khaled (musician)|Farid Dms Debah||
11595||Amy Earhart|Trey Stokes||
11596|||Luc B?raud||
11597|Bride of Boogedy|Mary Claire Kennedy Tammy Lauren Vasquez Richard Masur David Faustino|Michael Janover||
11598||Eleonora Rossi-Drago Nino Castelnuovo Roberto Bisacco Daniele Gaubert Philippe Forquet|Michael de Forrest||
11599|Marnie|Diane Carol Baker Bruce MacLeish Dern Bob Sweeney Martin Gabel Nathalie Kay Hedren Thomas Sean Connery Louise Latham Alan W. Napier-Clavering|Jay Presson Allen||
11600|Ab Tumhare Hawale Watan Saathiyo|Vijay Singh Deol Amitabh Bachchan Rajiv Hari Om Bhatia|Shaktimaan||
11601||Jill Ireland Lino Ventura Walter Chiari Joseph Wiseman Charles Dennis Buchinsky|Stephen Geller Massimo De Rita Arduino Maiuri||
11602|New Port South|Will Estes Nipper William Todd Field Gabriel Mann (actor) Blake Shields|James Hughes||
11603|Continental Divide|Carlin Glynn Blair Brown John Adam Belushi Allen Goorwitz|Lawrence Kasdan||
11604|Billy the Kid Versus Dracula Billy the Kid versus Dracula|Chuck Courtney (actor) Richmond Reed Carradine|Carl K. Hittleman||
11605|The Peanut Butter Solution|Mathew Mackay Alison Darcy Michael Hogan (actor) Siluck Saysanasy|Louise Pelletier Vojtech Jasny Michael Rubbo Andr?e Pelletier||
11606|World Trade Center|Anthony Piccininni Michael Anthony Peu00F1a Maggie Ruth Gyllenhaal Morgan Flynn Nicholas Kim Coppola Michael Shannon (actor) Maria Elana Bello Stephen Dorff Jr. Connor Paolo Jay Hernandez Alexa Veronica Gerasimovich|Andrea Berloff||
11607||Ashmit Patel Aly Khan Meera Rupak Mann|Mahesh Bhatt||
11608|Along Came Polly|Benjamin Edward Stiller Jennifer Aniston Hank Albert Azaria Bryan Brown Philip Seymour Hoffman Debra Lynn Messing Alexander Rae Baldwin III|John Hamburg||
11609||Sebastian Koch|||
11610|A Quiet Little Wedding|Roscoe Arbuckle|||
11611|The Bullfighters|Richard Lane Diosa Costello Arthur Stanley Jefferson Margo Woode Carol Andrews Oliver Hardy|Scott Darling George O'Hara Arthur Stanley Jefferson||
11612|Fatal Instinct|Patricia Colleen Nelligan Sean Young Armand Anthony Assante Jr. Sheryl Ann Fenn|David O'Malley||
11613||Barbara Jean Morehead Ken Kercheval Al Waxman Bill Daily Christopher Bolton|April Kelly||
11614|The Bridge||Eric Steel||
11615||Tura Satana Lori Williams Susan Bernard Haji (actress)|Jack Moran||
11616|The Eye 10|Luisa Leong Leong Lok-Iu (u6881u6A02u7464) u0E1Au0E07u0E01u0E0A u0E04u0E07u0E21u0E32u0E25u0E31u0E22 Yu Gu Kate Yeung Ray MacDonald Bo-lin Chen|The Pang Brothers||
11617|All Night Long|Richard Samuel Attenborough Paul Harris (actor) Elizabeth Winifred Boger Patrick McGoohan Bernard Braden Keith Joseph Michell|Nel King Paul Jarrico||
11618|Guess Who's Coming to Dinner|Spencer Bonaventure Tracy Katharine Hepburn Katharine Houghton Grant Sidney Poitier|William Rose (screenwriter)||
11619|The Star Chamber|Michael Kirk Douglas Harold Rowe Holbrook Jr.|Roderick Taylor||
11620|Bugsy Malone|Scott Vincent James Baio Alicia Christian Foster Florrie Dugger Martin Lev John Cassisi|Paul Williams (songwriter)||
11621||Louis Feinberg Harry Moses Horwitz Jerome Lester Horwitz|Elwood Ullman||
11622|Postcards from the Edge|Dennis William Quaid Shirley MacLean Beaty Eugene Alden Hackman Mary Louise Streep Richard Stephen Dreyfuss|Carrie Frances Fisher||
11623||Melvyn Edouard Hesselberg Gloria Hallward Maureen FitzSimons|Herman J. Mankiewicz||
11624||William Davis Garwood Jr. Bertha Blanchard|||
11625|Pru00EAt-u00E0-Porter|Marcello Vincenzo Domenico Mastroianni Sofia Villani Scicolone Julie Fiona Roberts|Barbara Shulgasser||
11626||Marie-France Pisier Isabelle Yasmine Adjani Isabelle Huppert|Pascal Bonitzer||
11627||Harald Lundt Daktari Lorenz Beatrice Manowski|J?rg Buttgereit Franz Rodenkirchen||
11628||Tom?s Blanco Modesto Cid|Julio Coll Antonio Isasi-Isasmendi||
11629|The Mirror||Andrei Arsenyevich Tarkovsky Aleksandr Misharin||
11630||Julian Wyatt Glover Oliver Reed Christopher Frank Carandini Lee Christian Charles Philip Bale Clive Wood John Charles Carter Peter William Postlethwaite|Robert Louis Stevenson||
11631|The Game Plan|Madison Pettis The Rock (entertainer) Kyra Minturn Sedgwick|Kathryn Price Audrey Wells||
11632||Herbert Streicher Saul Meth Gaylord St. James Chesty Morgan Phillip Stahl|Judy J. Kushner||
11633|Cadence|Laurence John Fishburne III Carlos Irwin Estu00E9vez Michael Beach|Dennis Shryack||
11634|No Escape|Raymond Liotta Stuart Wilson Lance Henriksen|Michael Gaylin Joel Gross Richard Herley||
11635|Daddy|Manohar Singh Pooja Bhatt Anupam Kher|Suraj Sanim||
11636||Anthony Charles Planck Edwards Corey Parker (actor) Lara Flynn Boyle|Terrel Seltzer||
11637|Scooby-Doo in Where's My Mummy?|Casey Kasem Ajay Naidu Franklin W. Welker Christine Baranski Mindy Cohn Erin Grey Van Oosbree|George Doty IV Joe Sichta Thommy Wojciechowski Joseph Barbera William Hanna Catherine Trillo Ed Scharlach||
11638|Fires on the Plain|Osamu Takizawa Eiji Funakoshi Mickey Curtis|Natto Wada#Natto Wada Shohei Ooka||
11639|The Fantastic Four|Rebecca Staab Alex Hyde-White Jay Underwood Michael Bailey Smith|Jacob Kurtzberg Stanley Martin Lieber||
11640|Box office number-one movies of 2003 (USA) Phone Booth|Kate Noelle Holmes Colin James Farrell Kiefer William Frederick Dempsey George Rufus Sutherland Radha Mitchell Forest Steven Whitaker|Larry Cohen||
11641|Hired and Fired|Walter Stull|||
11642||Henryk Kluba Barbara Lass Roman Polanski Andrzej Kondratiuk|Roman Polanski||
11643||Kent Smith Claude Marion Akins William Lyle Richardson Elisha Cook Jr. Larry Linville Barry Atwater Simon Oakland Ralph Meeker Charles McGraw Carol Lynley|||
11644|A Children's Story|Miriam Candurro Gianluca Di Gennaro Arturo Paglia Rolando Ravello Sergio Solli Carmine Recano|||
11645|The Adventure of Iron Pussy|Krissada Terrence Michael Shaowanasai|Michael Shaowanasai Apichatpong Weerasethakul||
11646||Cream (band)|||
11647|The Big Road The Highway|Jin Yan Zheng Junli Li Lili|Sun Yu||
11648||Mauricio Dayub Vando Villamil|Juan Bautista Stagnaro Mauricio Dayub||
11649|Scarecrow|Judy Patterson Tim Young Todd Rex Jen Richey|Bill Cunningham Emmanuel Itier||
11650||Deborah Power Sylvia Kristel Mia Nygren Patrick Nicolas Jean Sixte Ghislain Bauchau|Iris Letans Emmanuelle Arsan Francis Leroi||
11651|The Godless Girl|Lina Basquette|Jeanie MacPherson||
11652|Apt Pupil|Brad Barron Renfro Ian McKellen David Lawrence Schwimmer|||
11653|The Assassination Bureau|Oliver Reed Curt J?rgens Aristotelis Savalas Enid Diana Elizabeth Rigg|Jack London Wolf Mankowitz Robert L. Fish Michael Relph||
11654||Robert Dean Stockwell John Joseph Nicholson Susan Elizabeth Strasberg Bruce MacLeish Dern|Betty Ulius E. Hunter Willett Betty Tusher||
11655|Mary Poppins|Karen Dotrice David Cecil MacAlister Tomlinson Julia Elizabeth Wells Matthew Adam Garber Glynis Johns Richard Wayne Van Dyke|Bill Walsh (producer) P.L. Travers Don DaGradi||
11656|The Faithful Taxicab|Roscoe Arbuckle|||
11657|Beau Geste|Guy Stockwell Doug McClure Leslie William Nielsen Aristotelis Savalas|P. C. Wren Douglas Heyes||
11658|The Serpent's Kiss|Ewan McGregor Greta Scacchi Peter William Postlethwaite|Tim Rose Price||
11659|Love Jones|Nitara Carlynn Long Larenz Tate|Theodore Witcher||
11660||Elaine Cassidy Robert William Hoskins|William Trevor||
11661||Mohammad Kasebi<BR> Reza kasebi BR|Mohsen Makhmalbaf||
11662|Asteroid|Zachary Charles Annabella Sciorra Don Franklin Michael Manning Weatherly Jr. Carlos G?mez Michael Connell Biehn|Scott Sturgeon Robbyn Burger||
11663||Anang Desai Juhi Chawla Vallabh Vyas Manoj Pahwa Chahat Khanna Ninad Kamat Nina Kulkarni Irfan Khan (actor) Manini De|||
11664|Balisong|Ramon Revilla Alicia Vergel|||
11665|S-21, la machine de mort Khmu00E8re rouge S21: The Khmer Rouge Killing Machine|Vann Nath|Rithy Panh||
11666|Porky's Revenge|Scott Colomby Mark Herrier Wyatt Knight Chuck Mitchell Tony Ganios Dan Monahan|Bob Clark Ziggy Steinberg||
11667|Beyond His Fondest Hopes|Harold Lloyd|||
11668|Dadnapped|Jennifer Stone Moisu00E9s Arias George Young Newbern Emily Osment|||
11669|The Story of the Last Chrysanthemums|Gonjur? Kawarazaki Sh?tar? Hanayagi K?kichi Takada|Yoshikata Yoda Sh?f? Muramatsu Matsutar? Kawaguchi||
11670|Km. 0|Silke Elisa Matilla Jes?s Cabrero Carlos Fuentes (actor) Cora Tiedra Armando del R?o Merc? Pons Georges Corraface Miquel Garc?a Borda Concha Velasco V?ctor Ullate Alberto San Juan|Juan Luis Iborra Yolanda Garc?a Serrano||
11671|Red River|Marion Robert Morrison Edward Montgomery Clift|Borden Chase Charles Schnee||
11672||Hung Kam-Bo Billy Chan Meg Lam Lau Kar Wing Lee Hoi San Fung Hak-on|Eric Tsang Karl Maka||
11673|||Faisal Saif||
11674||Henry Jaynes Fonda Ruby Catherine Stevens|Fred F. Finklehoffe John Monks, Jr. Hal Yates Arthur Kober Philip G. Epstein Wilson Collison||
11675|Chow tau yau liu|Samuel Pang Nick Cheung Ruby Wong|||
11676|Gladiator|James Marshall (actor) Brian Manion Dennehy Cuba Gooding, Jr.|Robert Mark Kamen||
11677|Splash|Daryl Christine Hannah Thomas Jeffrey Hanks|Bruce Jay Friedman Lowell Ganz Babaloo Mandel||
11678||Amy Poehler|Seth Adam Meyers||
11679|Diva|Wilhelmenia Wiggins Fernandez Fr?d?ric Andr?i Richard Bohringer|Jean-Jacques Beineix Daniel Odier Jean Van Hamme||
11680|In My Country|Samuel Leroy Jackson Brendan Gleeson Juliette Binoche|Antjie Krog Ann Peacock||
11681|Consenting Adults|Rebecca Augusta Miller Mary Elizabeth Mastrantonio Kevin Spacey Fowler Kevin Delaney Kline|Matthew Chapman (author)||
11682||Salma Agha Raj Babbar Deepak Parashar|||
11683|Cleopatra Jones and the Casino of Gold|Tamara Dobson|||
11684||Wang Chung-Hsin In Sik Whang Wei Ping-Ao Robert Wall Carlos Ray Norris Nora Miao Lee Jun-Fan (u674Eu632Fu85E9)|Lee Jun-Fan (u674Eu632Fu85E9)||
